,GroupID,B0,E,Eh,El,Th,Tl,AIC,Converge
0,1,NA,NA,NA,NA,NA,NA,NA,N
0,2,NA,NA,NA,NA,NA,NA,NA,F
0,3,NA,NA,NA,NA,NA,NA,NA,N
0,4,NA,NA,NA,NA,NA,NA,NA,N
0,5,NA,NA,NA,NA,NA,NA,NA,N
0,6,NA,NA,NA,NA,NA,NA,NA,F
0,7,NA,NA,NA,NA,NA,NA,NA,F
0,8,3.12037361427551,1.0524897256437147,4.042171995356317,6.1324161378885235e-06,302.7082804932828,304.58724143156417,11.685576958712861,Y
0,9,NA,NA,NA,NA,NA,NA,NA,N
0,10,NA,NA,NA,NA,NA,NA,NA,N
0,11,NA,NA,NA,NA,NA,NA,NA,N
0,12,NA,NA,NA,NA,NA,NA,NA,N
0,13,0.00020279136563591127,-0.0445946437722582,-3.943060913304041e-06,-10.161404267890282,275.04556774177456,279.08984787861755,-132.12676833821484,Y
0,14,NA,NA,NA,NA,NA,NA,NA,N
0,15,NA,NA,NA,NA,NA,NA,NA,N
0,16,NA,NA,NA,NA,NA,NA,NA,N
0,17,NA,NA,NA,NA,NA,NA,NA,N
0,18,NA,NA,NA,NA,NA,NA,NA,N
0,19,NA,NA,NA,NA,NA,NA,NA,N
0,20,NA,NA,NA,NA,NA,NA,NA,N
0,21,NA,NA,NA,NA,NA,NA,NA,N
0,22,NA,NA,NA,NA,NA,NA,NA,N
0,23,NA,NA,NA,NA,NA,NA,NA,N
0,24,NA,NA,NA,NA,NA,NA,NA,N
0,25,NA,NA,NA,NA,NA,NA,NA,N
0,26,NA,NA,NA,NA,NA,NA,NA,F
0,27,NA,NA,NA,NA,NA,NA,NA,F
0,28,NA,NA,NA,NA,NA,NA,NA,F
0,29,NA,NA,NA,NA,NA,NA,NA,F
0,30,NA,NA,NA,NA,NA,NA,NA,F
0,31,1.7799730564417384,0.6640710829458624,24.582957419780435,-0.00027354159683807563,297.396988613608,262.82124988624264,-15.971292873731336,Y
0,32,NA,NA,NA,NA,NA,NA,NA,N
0,33,NA,NA,NA,NA,NA,NA,NA,N
0,34,NA,NA,NA,NA,NA,NA,NA,F
0,35,NA,NA,NA,NA,NA,NA,NA,F
0,36,NA,NA,NA,NA,NA,NA,NA,N
0,37,0.1566882391905304,3.272294286684381,6.0082923305058795,2.5600503733703706,293.6449080746004,282.14950908522036,-86.742685725223,Y
0,38,NA,NA,NA,NA,NA,NA,NA,N
0,39,NA,NA,NA,NA,NA,NA,NA,N
0,40,NA,NA,NA,NA,NA,NA,NA,N
0,41,NA,NA,NA,NA,NA,NA,NA,N
0,42,NA,NA,NA,NA,NA,NA,NA,N
0,43,NA,NA,NA,NA,NA,NA,NA,N
0,44,NA,NA,NA,NA,NA,NA,NA,N
0,45,0.03782376597989852,0.8797849127830066,4.836958640094499,-37.97380144748219,303.9353668516709,290.82504984026923,-46.386719010560654,Y
0,46,NA,NA,NA,NA,NA,NA,NA,N
0,47,0.06683432829494124,0.5586385563567352,4.834010840264758,-41.34949638150325,304.5827144245261,291.06787499176266,-39.63197246823376,Y
0,48,NA,NA,NA,NA,NA,NA,NA,N
0,49,NA,NA,NA,NA,NA,NA,NA,N
0,50,NA,NA,NA,NA,NA,NA,NA,N
0,51,0.3489570597678694,1.7463302082775296,10.27928918757617,2.7479758917038555,302.6586534603379,295.59139549705253,-19.679165043921554,Y
0,52,NA,NA,NA,NA,NA,NA,NA,N
0,53,NA,NA,NA,NA,NA,NA,NA,N
0,54,NA,NA,NA,NA,NA,NA,NA,N
0,55,NA,NA,NA,NA,NA,NA,NA,N
0,56,NA,NA,NA,NA,NA,NA,NA,N
0,57,NA,NA,NA,NA,NA,NA,NA,N
0,58,NA,NA,NA,NA,NA,NA,NA,N
0,59,0.5517140651036584,4.125037490678197,7.4740991578054725,3.6110178954406837,294.53172932220497,285.7909589285131,-10.50392178501485,Y
0,60,NA,NA,NA,NA,NA,NA,NA,N
0,61,NA,NA,NA,NA,NA,NA,NA,N
0,62,NA,NA,NA,NA,NA,NA,NA,N
0,63,NA,NA,NA,NA,NA,NA,NA,N
0,64,NA,NA,NA,NA,NA,NA,NA,N
0,65,NA,NA,NA,NA,NA,NA,NA,N
0,66,0.4376360689397875,3.737412480784688,7.938450134233564,3.511971025188085,296.8137253895075,286.91765984077404,-21.121534234505297,Y
0,67,NA,NA,NA,NA,NA,NA,NA,N
0,68,NA,NA,NA,NA,NA,NA,NA,N
0,69,NA,NA,NA,NA,NA,NA,NA,N
0,70,NA,NA,NA,NA,NA,NA,NA,N
0,71,NA,NA,NA,NA,NA,NA,NA,N
0,72,NA,NA,NA,NA,NA,NA,NA,N
0,73,NA,NA,NA,NA,NA,NA,NA,N
0,74,NA,NA,NA,NA,NA,NA,NA,N
0,75,NA,NA,NA,NA,NA,NA,NA,N
0,76,3.003395052278387,5.724648987562432,11.227836380041365,5.3636506630923195,293.3806047357137,282.2736138642708,-24.931380859105317,Y
0,77,NA,NA,NA,NA,NA,NA,NA,N
0,78,NA,NA,NA,NA,NA,NA,NA,N
0,79,NA,NA,NA,NA,NA,NA,NA,N
0,80,904.0171733287182,22.4616235424371,29.40318103727495,21.737159920197385,286.4757946581879,280.8980643352771,-21.945042307934514,Y
0,81,NA,NA,NA,NA,NA,NA,NA,N
0,82,NA,NA,NA,NA,NA,NA,NA,N
0,83,NA,NA,NA,NA,NA,NA,NA,N
0,84,NA,NA,NA,NA,NA,NA,NA,N
0,85,NA,NA,NA,NA,NA,NA,NA,N
0,86,NA,NA,NA,NA,NA,NA,NA,N
0,87,NA,NA,NA,NA,NA,NA,NA,N
0,88,NA,NA,NA,NA,NA,NA,NA,N
0,89,NA,NA,NA,NA,NA,NA,NA,N
0,90,NA,NA,NA,NA,NA,NA,NA,N
0,91,NA,NA,NA,NA,NA,NA,NA,N
0,92,NA,NA,NA,NA,NA,NA,NA,N
0,93,NA,NA,NA,NA,NA,NA,NA,N
0,94,NA,NA,NA,NA,NA,NA,NA,N
0,95,2.9612719138937784,0.7029274845598377,6.585257333801461,-6.221535101243018e-05,297.99919891222385,287.7397844153459,-13.512794868455273,Y
0,96,NA,NA,NA,NA,NA,NA,NA,N
0,97,NA,NA,NA,NA,NA,NA,NA,N
0,98,NA,NA,NA,NA,NA,NA,NA,N
0,99,11459.541419304058,27.829611514517655,33.14463276100042,26.98621074703206,283.99064279638094,280.881658765891,-15.941371138611249,Y
0,100,NA,NA,NA,NA,NA,NA,NA,N
0,101,2.7412991097315653,0.7474079776958313,5.945051067426834,9.020629623825345e-06,297.27619181021754,311.25121044776864,-5.159605021698912,Y
0,102,7643.462509954386,31.828575811090957,37.40032645513393,31.188496081274263,284.17006031649447,281.32194109460437,-9.794651992609097,Y
0,103,3.7285360253123403,5.639649652517223,15.816797013241425,5.224001420835349,296.6199425405673,281.9001354971022,-18.06868192171212,Y
0,104,NA,NA,NA,NA,NA,NA,NA,N
0,105,NA,NA,NA,NA,NA,NA,NA,N
0,106,NA,NA,NA,NA,NA,NA,NA,N
0,107,NA,NA,NA,NA,NA,NA,NA,N
0,108,NA,NA,NA,NA,NA,NA,NA,N
0,109,NA,NA,NA,NA,NA,NA,NA,N
0,110,NA,NA,NA,NA,NA,NA,NA,N
0,111,10128.532757443456,32.97879447164853,40.71575848766665,32.455582593601505,285.41945011776977,281.2541772536524,-53.60753934921638,Y
0,112,NA,NA,NA,NA,NA,NA,NA,N
0,113,1.3834548694176465,3.855792339913855,7.487646593969899,3.2449096008519867,293.4607771168424,283.2980329730309,-7.1663925149418475,Y
0,114,NA,NA,NA,NA,NA,NA,NA,N
0,115,NA,NA,NA,NA,NA,NA,NA,N
0,116,NA,NA,NA,NA,NA,NA,NA,N
0,117,NA,NA,NA,NA,NA,NA,NA,N
0,118,NA,NA,NA,NA,NA,NA,NA,N
0,119,NA,NA,NA,NA,NA,NA,NA,N
0,120,NA,NA,NA,NA,NA,NA,NA,N
0,121,2.403657952197952,4.067129148110604,10.115976828162744,3.5328126542116,294.97775111805026,282.02018728665115,-27.151275237207123,Y
0,122,NA,NA,NA,NA,NA,NA,NA,N
0,123,NA,NA,NA,NA,NA,NA,NA,N
0,124,NA,NA,NA,NA,NA,NA,NA,N
0,125,NA,NA,NA,NA,NA,NA,NA,N
0,126,NA,NA,NA,NA,NA,NA,NA,N
0,127,NA,NA,NA,NA,NA,NA,NA,N
0,128,NA,NA,NA,NA,NA,NA,NA,N
0,129,NA,NA,NA,NA,NA,NA,NA,N
0,130,NA,NA,NA,NA,NA,NA,NA,N
0,131,NA,NA,NA,NA,NA,NA,NA,N
0,132,NA,NA,NA,NA,NA,NA,NA,N
0,133,NA,NA,NA,NA,NA,NA,NA,N
0,134,NA,NA,NA,NA,NA,NA,NA,N
0,135,NA,NA,NA,NA,NA,NA,NA,N
0,136,NA,NA,NA,NA,NA,NA,NA,N
0,137,NA,NA,NA,NA,NA,NA,NA,N
0,138,NA,NA,NA,NA,NA,NA,NA,N
0,139,NA,NA,NA,NA,NA,NA,NA,N
0,140,NA,NA,NA,NA,NA,NA,NA,N
0,141,NA,NA,NA,NA,NA,NA,NA,N
0,142,NA,NA,NA,NA,NA,NA,NA,N
0,143,NA,NA,NA,NA,NA,NA,NA,N
0,144,NA,NA,NA,NA,NA,NA,NA,N
0,145,1.0800568715909382,3.5812273254959566,13.17010493010495,3.429765540629296,299.6933613763802,285.12706641127517,-5.5922012986149205,Y
0,146,NA,NA,NA,NA,NA,NA,NA,N
0,147,NA,NA,NA,NA,NA,NA,NA,N
0,148,NA,NA,NA,NA,NA,NA,NA,N
0,149,NA,NA,NA,NA,NA,NA,NA,N
0,150,NA,NA,NA,NA,NA,NA,NA,N
0,151,NA,NA,NA,NA,NA,NA,NA,N
0,152,NA,NA,NA,NA,NA,NA,NA,N
0,153,NA,NA,NA,NA,NA,NA,NA,N
0,154,NA,NA,NA,NA,NA,NA,NA,N
0,155,NA,NA,NA,NA,NA,NA,NA,N
0,156,NA,NA,NA,NA,NA,NA,NA,N
0,157,0.8267272375437024,3.033965828083834,12.822344074385912,2.974228626312041,300.4743587254974,286.99801206065064,-6.647948808036581,Y
0,158,NA,NA,NA,NA,NA,NA,NA,N
0,159,NA,NA,NA,NA,NA,NA,NA,N
0,160,NA,NA,NA,NA,NA,NA,NA,N
0,161,NA,NA,NA,NA,NA,NA,NA,N
0,162,2.112166785160308,0.6944263464995017,5.140987752669665,-3.360319373064686,299.9504722734702,276.24606450941656,7.3967003756019105,Y
0,163,NA,NA,NA,NA,NA,NA,NA,N
0,164,NA,NA,NA,NA,NA,NA,NA,N
0,165,NA,NA,NA,NA,NA,NA,NA,N
0,166,NA,NA,NA,NA,NA,NA,NA,N
0,167,NA,NA,NA,NA,NA,NA,NA,N
0,168,NA,NA,NA,NA,NA,NA,NA,N
0,169,NA,NA,NA,NA,NA,NA,NA,N
0,170,NA,NA,NA,NA,NA,NA,NA,N
0,171,NA,NA,NA,NA,NA,NA,NA,N
0,172,NA,NA,NA,NA,NA,NA,NA,N
0,173,NA,NA,NA,NA,NA,NA,NA,N
0,174,NA,NA,NA,NA,NA,NA,NA,N
0,175,NA,NA,NA,NA,NA,NA,NA,N
0,176,NA,NA,NA,NA,NA,NA,NA,N
0,177,NA,NA,NA,NA,NA,NA,NA,N
0,178,NA,NA,NA,NA,NA,NA,NA,N
0,179,NA,NA,NA,NA,NA,NA,NA,N
0,180,NA,NA,NA,NA,NA,NA,NA,N
0,181,NA,NA,NA,NA,NA,NA,NA,N
0,182,NA,NA,NA,NA,NA,NA,NA,N
0,183,NA,NA,NA,NA,NA,NA,NA,N
0,184,NA,NA,NA,NA,NA,NA,NA,N
0,185,NA,NA,NA,NA,NA,NA,NA,N
0,186,NA,NA,NA,NA,NA,NA,NA,N
0,187,NA,NA,NA,NA,NA,NA,NA,N
0,188,NA,NA,NA,NA,NA,NA,NA,N
0,189,NA,NA,NA,NA,NA,NA,NA,N
0,190,NA,NA,NA,NA,NA,NA,NA,N
0,191,NA,NA,NA,NA,NA,NA,NA,N
0,192,NA,NA,NA,NA,NA,NA,NA,N
0,193,NA,NA,NA,NA,NA,NA,NA,N
0,194,NA,NA,NA,NA,NA,NA,NA,N
0,195,NA,NA,NA,NA,NA,NA,NA,N
0,196,NA,NA,NA,NA,NA,NA,NA,N
0,197,NA,NA,NA,NA,NA,NA,NA,N
0,198,NA,NA,NA,NA,NA,NA,NA,N
0,199,NA,NA,NA,NA,NA,NA,NA,N
0,200,NA,NA,NA,NA,NA,NA,NA,N
0,201,NA,NA,NA,NA,NA,NA,NA,N
0,202,NA,NA,NA,NA,NA,NA,NA,N
0,203,NA,NA,NA,NA,NA,NA,NA,N
0,204,NA,NA,NA,NA,NA,NA,NA,N
0,205,NA,NA,NA,NA,NA,NA,NA,N
0,206,NA,NA,NA,NA,NA,NA,NA,N
0,207,NA,NA,NA,NA,NA,NA,NA,N
0,208,NA,NA,NA,NA,NA,NA,NA,N
0,209,NA,NA,NA,NA,NA,NA,NA,N
0,210,NA,NA,NA,NA,NA,NA,NA,N
0,211,NA,NA,NA,NA,NA,NA,NA,N
0,212,NA,NA,NA,NA,NA,NA,NA,N
0,213,NA,NA,NA,NA,NA,NA,NA,N
0,214,NA,NA,NA,NA,NA,NA,NA,N
0,215,NA,NA,NA,NA,NA,NA,NA,N
0,216,NA,NA,NA,NA,NA,NA,NA,N
0,217,NA,NA,NA,NA,NA,NA,NA,N
0,218,NA,NA,NA,NA,NA,NA,NA,N
0,219,NA,NA,NA,NA,NA,NA,NA,N
0,220,NA,NA,NA,NA,NA,NA,NA,N
0,221,NA,NA,NA,NA,NA,NA,NA,N
0,222,NA,NA,NA,NA,NA,NA,NA,N
0,223,NA,NA,NA,NA,NA,NA,NA,N
0,224,NA,NA,NA,NA,NA,NA,NA,N
0,225,NA,NA,NA,NA,NA,NA,NA,N
0,226,NA,NA,NA,NA,NA,NA,NA,N
0,227,NA,NA,NA,NA,NA,NA,NA,N
0,228,NA,NA,NA,NA,NA,NA,NA,N
0,229,NA,NA,NA,NA,NA,NA,NA,N
0,230,NA,NA,NA,NA,NA,NA,NA,N
0,231,NA,NA,NA,NA,NA,NA,NA,N
0,232,NA,NA,NA,NA,NA,NA,NA,N
0,233,NA,NA,NA,NA,NA,NA,NA,N
0,234,NA,NA,NA,NA,NA,NA,NA,N
0,235,NA,NA,NA,NA,NA,NA,NA,N
0,236,NA,NA,NA,NA,NA,NA,NA,N
0,237,NA,NA,NA,NA,NA,NA,NA,N
0,238,NA,NA,NA,NA,NA,NA,NA,N
0,239,NA,NA,NA,NA,NA,NA,NA,N
0,240,NA,NA,NA,NA,NA,NA,NA,N
0,241,NA,NA,NA,NA,NA,NA,NA,N
0,242,NA,NA,NA,NA,NA,NA,NA,N
0,243,NA,NA,NA,NA,NA,NA,NA,N
0,244,NA,NA,NA,NA,NA,NA,NA,N
0,245,NA,NA,NA,NA,NA,NA,NA,N
0,246,NA,NA,NA,NA,NA,NA,NA,N
0,247,NA,NA,NA,NA,NA,NA,NA,N
0,248,NA,NA,NA,NA,NA,NA,NA,N
0,249,NA,NA,NA,NA,NA,NA,NA,N
0,250,NA,NA,NA,NA,NA,NA,NA,N
0,251,NA,NA,NA,NA,NA,NA,NA,N
0,252,NA,NA,NA,NA,NA,NA,NA,N
0,253,NA,NA,NA,NA,NA,NA,NA,N
0,254,NA,NA,NA,NA,NA,NA,NA,N
0,255,NA,NA,NA,NA,NA,NA,NA,N
0,256,NA,NA,NA,NA,NA,NA,NA,F
0,257,NA,NA,NA,NA,NA,NA,NA,N
0,258,NA,NA,NA,NA,NA,NA,NA,N
0,259,NA,NA,NA,NA,NA,NA,NA,N
0,260,NA,NA,NA,NA,NA,NA,NA,N
0,261,NA,NA,NA,NA,NA,NA,NA,N
0,262,NA,NA,NA,NA,NA,NA,NA,N
0,263,NA,NA,NA,NA,NA,NA,NA,N
0,264,NA,NA,NA,NA,NA,NA,NA,N
0,265,NA,NA,NA,NA,NA,NA,NA,N
0,266,NA,NA,NA,NA,NA,NA,NA,N
0,267,NA,NA,NA,NA,NA,NA,NA,N
0,268,NA,NA,NA,NA,NA,NA,NA,N
0,269,NA,NA,NA,NA,NA,NA,NA,N
0,270,NA,NA,NA,NA,NA,NA,NA,N
0,271,NA,NA,NA,NA,NA,NA,NA,N
0,272,NA,NA,NA,NA,NA,NA,NA,N
0,273,NA,NA,NA,NA,NA,NA,NA,N
0,274,NA,NA,NA,NA,NA,NA,NA,N
0,275,NA,NA,NA,NA,NA,NA,NA,N
0,276,NA,NA,NA,NA,NA,NA,NA,N
0,277,NA,NA,NA,NA,NA,NA,NA,N
0,278,NA,NA,NA,NA,NA,NA,NA,N
0,279,NA,NA,NA,NA,NA,NA,NA,N
0,280,NA,NA,NA,NA,NA,NA,NA,N
0,281,NA,NA,NA,NA,NA,NA,NA,N
0,282,NA,NA,NA,NA,NA,NA,NA,N
0,283,NA,NA,NA,NA,NA,NA,NA,N
0,284,NA,NA,NA,NA,NA,NA,NA,N
0,285,NA,NA,NA,NA,NA,NA,NA,N
0,286,NA,NA,NA,NA,NA,NA,NA,N
0,287,NA,NA,NA,NA,NA,NA,NA,N
0,288,NA,NA,NA,NA,NA,NA,NA,N
0,289,NA,NA,NA,NA,NA,NA,NA,N
0,290,NA,NA,NA,NA,NA,NA,NA,N
0,291,NA,NA,NA,NA,NA,NA,NA,N
0,292,NA,NA,NA,NA,NA,NA,NA,N
0,293,NA,NA,NA,NA,NA,NA,NA,N
0,294,NA,NA,NA,NA,NA,NA,NA,N
0,295,NA,NA,NA,NA,NA,NA,NA,N
0,296,NA,NA,NA,NA,NA,NA,NA,N
0,297,NA,NA,NA,NA,NA,NA,NA,N
0,298,0.006517156220735134,1.3799659571054477,-0.57579109159243,2.8950906510263175,300.2641823053593,294.5928014380686,-214.26006052267763,Y
0,299,NA,NA,NA,NA,NA,NA,NA,N
0,300,NA,NA,NA,NA,NA,NA,NA,N
0,301,NA,NA,NA,NA,NA,NA,NA,N
0,302,NA,NA,NA,NA,NA,NA,NA,N
0,303,NA,NA,NA,NA,NA,NA,NA,N
0,304,NA,NA,NA,NA,NA,NA,NA,N
0,305,NA,NA,NA,NA,NA,NA,NA,N
0,306,0.025733449464695697,0.20862936492795844,0.0076560599626411185,0.007688014046780631,314.6058670645087,324.3827424368219,-127.4257194492084,Y
0,307,NA,NA,NA,NA,NA,NA,NA,N
0,308,NA,NA,NA,NA,NA,NA,NA,F
0,309,NA,NA,NA,NA,NA,NA,NA,N
0,310,NA,NA,NA,NA,NA,NA,NA,N
0,311,NA,NA,NA,NA,NA,NA,NA,N
0,312,NA,NA,NA,NA,NA,NA,NA,N
0,313,NA,NA,NA,NA,NA,NA,NA,N
0,314,NA,NA,NA,NA,NA,NA,NA,N
0,315,NA,NA,NA,NA,NA,NA,NA,N
0,316,NA,NA,NA,NA,NA,NA,NA,F
0,317,NA,NA,NA,NA,NA,NA,NA,N
0,318,NA,NA,NA,NA,NA,NA,NA,N
0,319,NA,NA,NA,NA,NA,NA,NA,N
0,320,NA,NA,NA,NA,NA,NA,NA,N
0,321,NA,NA,NA,NA,NA,NA,NA,N
0,322,NA,NA,NA,NA,NA,NA,NA,N
0,323,NA,NA,NA,NA,NA,NA,NA,N
0,324,NA,NA,NA,NA,NA,NA,NA,N
0,325,NA,NA,NA,NA,NA,NA,NA,N
0,326,0.01263855399164185,0.4693217191393786,1.3437781251100942,-0.6454312557560746,299.89090756621107,293.7399379719018,-107.55351701676173,Y
0,327,NA,NA,NA,NA,NA,NA,NA,N
0,328,NA,NA,NA,NA,NA,NA,NA,N
0,329,NA,NA,NA,NA,NA,NA,NA,N
0,330,NA,NA,NA,NA,NA,NA,NA,N
0,331,0.005583131199346969,2.1894332038188367,0.6961587906812394,3.4096102009044977,274.08942866485285,291.0456051287028,-229.23711902150131,Y
0,332,NA,NA,NA,NA,NA,NA,NA,N
0,333,NA,NA,NA,NA,NA,NA,NA,N
0,334,NA,NA,NA,NA,NA,NA,NA,N
0,335,NA,NA,NA,NA,NA,NA,NA,N
0,336,NA,NA,NA,NA,NA,NA,NA,N
0,337,NA,NA,NA,NA,NA,NA,NA,F
0,338,NA,NA,NA,NA,NA,NA,NA,N
0,339,NA,NA,NA,NA,NA,NA,NA,F
0,340,NA,NA,NA,NA,NA,NA,NA,N
0,341,NA,NA,NA,NA,NA,NA,NA,N
0,342,NA,NA,NA,NA,NA,NA,NA,N
0,343,NA,NA,NA,NA,NA,NA,NA,F
0,344,NA,NA,NA,NA,NA,NA,NA,N
0,345,NA,NA,NA,NA,NA,NA,NA,N
0,346,NA,NA,NA,NA,NA,NA,NA,F
0,347,NA,NA,NA,NA,NA,NA,NA,N
0,348,NA,NA,NA,NA,NA,NA,NA,N
0,349,NA,NA,NA,NA,NA,NA,NA,N
0,350,NA,NA,NA,NA,NA,NA,NA,N
0,351,NA,NA,NA,NA,NA,NA,NA,N
0,352,NA,NA,NA,NA,NA,NA,NA,N
0,353,NA,NA,NA,NA,NA,NA,NA,N
0,354,NA,NA,NA,NA,NA,NA,NA,N
0,355,NA,NA,NA,NA,NA,NA,NA,F
0,356,NA,NA,NA,NA,NA,NA,NA,N
0,357,NA,NA,NA,NA,NA,NA,NA,N
0,358,NA,NA,NA,NA,NA,NA,NA,N
0,359,NA,NA,NA,NA,NA,NA,NA,N
0,360,NA,NA,NA,NA,NA,NA,NA,N
0,361,NA,NA,NA,NA,NA,NA,NA,N
0,362,NA,NA,NA,NA,NA,NA,NA,N
0,363,NA,NA,NA,NA,NA,NA,NA,N
0,364,NA,NA,NA,NA,NA,NA,NA,F
0,365,NA,NA,NA,NA,NA,NA,NA,N
0,366,NA,NA,NA,NA,NA,NA,NA,N
0,367,NA,NA,NA,NA,NA,NA,NA,N
0,368,NA,NA,NA,NA,NA,NA,NA,N
0,369,NA,NA,NA,NA,NA,NA,NA,N
0,370,NA,NA,NA,NA,NA,NA,NA,N
0,371,NA,NA,NA,NA,NA,NA,NA,N
0,372,NA,NA,NA,NA,NA,NA,NA,N
0,373,NA,NA,NA,NA,NA,NA,NA,N
0,374,NA,NA,NA,NA,NA,NA,NA,N
0,375,NA,NA,NA,NA,NA,NA,NA,N
0,376,NA,NA,NA,NA,NA,NA,NA,N
0,377,NA,NA,NA,NA,NA,NA,NA,N
0,378,NA,NA,NA,NA,NA,NA,NA,N
0,379,NA,NA,NA,NA,NA,NA,NA,N
0,380,NA,NA,NA,NA,NA,NA,NA,N
0,381,NA,NA,NA,NA,NA,NA,NA,N
0,382,NA,NA,NA,NA,NA,NA,NA,N
0,383,NA,NA,NA,NA,NA,NA,NA,N
0,384,NA,NA,NA,NA,NA,NA,NA,N
0,385,NA,NA,NA,NA,NA,NA,NA,F
0,386,NA,NA,NA,NA,NA,NA,NA,N
0,387,NA,NA,NA,NA,NA,NA,NA,N
0,388,NA,NA,NA,NA,NA,NA,NA,N
0,389,NA,NA,NA,NA,NA,NA,NA,F
0,390,NA,NA,NA,NA,NA,NA,NA,N
0,391,NA,NA,NA,NA,NA,NA,NA,N
0,392,NA,NA,NA,NA,NA,NA,NA,N
0,393,NA,NA,NA,NA,NA,NA,NA,N
0,394,NA,NA,NA,NA,NA,NA,NA,N
0,395,NA,NA,NA,NA,NA,NA,NA,N
0,396,NA,NA,NA,NA,NA,NA,NA,N
0,397,NA,NA,NA,NA,NA,NA,NA,N
0,398,NA,NA,NA,NA,NA,NA,NA,N
0,399,NA,NA,NA,NA,NA,NA,NA,N
0,400,NA,NA,NA,NA,NA,NA,NA,N
0,401,NA,NA,NA,NA,NA,NA,NA,N
0,402,NA,NA,NA,NA,NA,NA,NA,F
0,403,NA,NA,NA,NA,NA,NA,NA,N
0,404,NA,NA,NA,NA,NA,NA,NA,N
0,405,NA,NA,NA,NA,NA,NA,NA,N
0,406,NA,NA,NA,NA,NA,NA,NA,N
0,407,NA,NA,NA,NA,NA,NA,NA,N
0,408,NA,NA,NA,NA,NA,NA,NA,N
0,409,NA,NA,NA,NA,NA,NA,NA,N
0,410,NA,NA,NA,NA,NA,NA,NA,F
0,411,NA,NA,NA,NA,NA,NA,NA,N
0,412,NA,NA,NA,NA,NA,NA,NA,N
